Name, Calories, Protein_gm, Fiber_gm, Ingredients, Veg/Non-Veg, Steps,Photo
Pumpkin Curry,300,10,5, Pumpkin Spices, Veg, Cook pumpkin in spiced gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/10/pumpkin-curry-recipe.jpg
Veg Fried Rice,350,10,5, Rice Mixed Vegetables Spices, Veg, Stir-fry rice with mixed vegetables,https://www.indianhealthyrecipes.com/wp-content/uploads/2020/12/fried-rice.jpg
Fish Curry,400,20,5, Fish Coconut Spices, Non-Veg, Cook fish in coconut gravy,https://www.priyom.in/wp-content/uploads/2022/05/recipe-3.png
Kathi Roll,300,10,5, Roti Mixed Vegetables Spices, Veg, Wrap spiced vegetables in roti,https://www.indianhealthyrecipes.com/wp-content/uploads/2024/02/chicken-kathi-roll-chicken-frankie.jpg
Methi Rice,350,10,5, Rice Fenugreek Spices, Veg, Cook rice with fenugreek and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/07/methi-rice-recipe.jpg
Vegetable Qorma,400,12,5, Mixed Vegetables Cream Spices, Veg, Cook mixed vegetables in creamy gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpH5mdObhztEtLbdnE5aU5j0K3Vwl9j78eUA&s
Methi Pulao,400,10,5, Basmati Rice Fenugreek Spices, Veg, Cook rice with fenugreek and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6OAKQSMZ18czNLQk3OWxvGjfj1kY9mR6qJQ&s
Palak Paneer,400,20,5, Spinach Paneer Spices, Veg, Cook paneer in spinach gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1YSfw78RFLx5MOMA93_pGPETbWp6fsdbrBA&s
Mutton Curry,600,30,5, Mutton Spices, Non-Veg, Slow-cook mutton in rich gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpB7tcYcpNEQV7-KuDt3tm4n_wqVVaOCETWQ&s
Veg Noodles,350,12,5, Noodles Mixed Vegetables Spices, Veg, Stir-fry noodles with mixed vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOtHkeg3ozBJdDw_AxSa-F_y7X1UDMc8VjKw&s
Vegetable Sambar,350,10,5, Mixed Vegetables Lentils Spices, Veg, Cook lentils with mixed vegetables and spices,https://www.playfulcooking.com/wp-content/uploads/2023/03/vegetable-sambar-01.jpg
Sooji Halwa,250,8,4, Semolina Ghee Sugar, Veg, Cook semolina in ghee with sugar,https://i0.wp.com/www.bharatzkitchen.com/wp-content/uploads/2020/08/Suji-Ka-Halwa.jpg?fit=640%2C360&ssl=1
Methi Malai Chicken,500,30,4, Chicken Fenugreek Cream Spices, Non-Veg, Cook chicken in creamy fenugreek sauce,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7qsgm9Q3_NtHIEcZnr5SCQ1rZ2goHGHSL3A&s
Vegetable Raita,150,4,2, Yogurt Mixed Vegetables Spices, Veg, Mix yogurt with chopped vegetables,https://www.sharmispassions.com/wp-content/uploads/2020/12/9074950711_16a4a3c84e_o.jpg
Aloo Baingan,300,8,5, Potatoes Eggplant Spices, Veg, Cook potatoes with eggplant and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/07/aloo-baingan-recipe.jpg
Chana Masala,350,12,5, Chickpeas Spices, Veg, Cook chickpeas in rich gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/08/chana-masala-recipe.jpg
Vegetable Khichdi,300,10,5, Rice Lentils Spices, Veg, Cook rice and lentils with mixed vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPpZmutBRPlj3icycbSPV4rPr_MMtq8tJboQ&s
Methi Murg,500,30,4, Chicken Fenugreek Spices, Non-Veg, Cook chicken with fenugreek and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcbAXY1geFLUbsXqx67nsGq0L1N37N_uN_4A&s
Pumpkin Roti,250,8,5, Whole Wheat Flour Pumpkin Spices, Veg, Roll dough with pumpkin and cook on tawa,https://i.ytimg.com/vi/P9Jk99UWqKo/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLC49u88EcLc44ooQrPQCW2u7_bIOg
Tawa Pulao,400,10,5, Basmati Rice Mixed Vegetables Spices, Veg, Cook rice with mixed vegetables on tawa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-K0JAnO4aieuQJoNKfXP3SBclKpSPr_6BjA&s
Daal Tadka,300,12,5, Lentils Spices, Veg, Cook lentils and temper with spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGBwQjYAU-g9ZKjZHGneE5IPpMOv6LQAo1Dw&s
Aloo Gobi,300,8,5, Potatoes Cauliflower Spices, Veg, Cook potatoes with cauliflower and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/03/aloo-gobi-recipe.jpg
Gobi Manchurian,350,12,5, Cauliflower Spices, Veg, Fry cauliflower in spicy batter and toss with sauce,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/gobi-manchurian-cauliflower-manchurian.jpg
Chicken Biryani,500,25,5, Basmati Rice Chicken Spices, Non-Veg, Layer chicken with rice and spices,https://ministryofcurry.com/wp-content/uploads/2024/06/chicken-biryani-5.jpg
Vegetable Pudding,300,8,4, Mixed Vegetables, Veg, Steam mixed vegetables and serve with sauce,https://images.eatsmarter.com/sites/default/files/styles/max_size/public/vegetable-pudding-597366.jpg
Bitter Gourd Stir Fry,250,5,3, Bitter Gourd Spices, Veg, Cook bitter gourd with spices until tender,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxvOtH3Ca8dM9xezQcAV91OsQIOgSkTxWBJQ&s
Lentil Soup,250,6,3, Lentils Spices, Veg, Cook lentils in spiced water,https://www.noracooks.com/wp-content/uploads/2018/11/square-1-500x500.jpg
Egg Curry,400,25,5, Eggs Spices, Non-Veg, Cook eggs in rich gravy,https://theflavoursofkitchen.com/wp-content/uploads/2020/04/Dhaba-Style-Egg-Curry-2.jpg
Masoor Dal,300,12,5, Red Lentils Spices, Veg, Cook lentils with spices until soft,https://www.teaforturmeric.com/wp-content/uploads/2022/06/Masoor-Dal-09.jpg
Veg Pakora,350,10,5, Mixed Vegetables Gram Flour Spices, Veg, Deep fry vegetables in batter until crispy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9LVOVGr2qnSsvKgEmCpGTQqLF1NHEbQPY6A&s
Sev Puri,250,5,3, Puri Sev Chutney, Veg, Top puris with sev and chutney,https://www.vegrecipesofindia.com/wp-content/uploads/2021/05/sev-puri-2.jpg
Biryani,500,25,5, Basmati Rice Mixed Vegetables Spices, Veg, Layer rice with mixed vegetables and spices,"https://assets.cntraveller.in/photos/6218cfdf6774879c067d3ece/16:9/w_1920,h_1080,c_limit/best%20biryani%20in%20pune%20lead.jpg"
Pork Vindaloo,600,30,5, Pork Spices, Non-Veg, Cook pork in spicy vinegar sauce,https://www.allrecipes.com/thmb/Q-Wi8mphO7IGeyLyjW96GmK3mQY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/734094-d43077b9e8d74fd69594627d88dc3531.jpg
Dum Aloo,400,20,5, Potatoes Spices, Veg, Cook potatoes in rich gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/08/dum-aloo-recipe.jpg
Fish Tikka,400,25,5, Fish Spices, Non-Veg, Marinate fish and grill until tender,https://www.lekhafoods.com/media/202121/fish-tikka.jpg
Aloo Methi,300,8,5, Potatoes Fenugreek Spices, Veg, Cook potatoes with fenugreek and spices,https://pipingpotcurry.com/wp-content/uploads/2023/03/aloo-methi.jpg
Pesarattu,250,10,5, Green Gram Spices, Veg, Cook dosa with green gram batter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTwMq6wShVn9HskRUc56dZmJ2Rv9OlsHMWfg&s
Vegetable Moong Dal,300,10,5, Moong Lentils Spices, Veg, Cook lentils with mixed vegetables and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBxqWIR4SBhFgqkJysukXJe7QjyjcZDgNtxg&s
Zucchini Curry,300,10,5, Zucchini Spices, Veg, Cook zucchini in spiced gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2Jmch7WRzy2cfAbCmLzrhhrG6VLu0UUmzHw&s
Kadhi,350,10,5, Yogurt Gram Flour Spices, Veg, Cook yogurt with gram flour and spices,https://static.toiimg.com/thumb/89721602.cms?imgsize=75354&width=800&height=800
Kothimbir Vadi,200,6,4, Coriander Gram Flour Spices, Veg, Steam and fry spiced coriander dumplings,https://i0.wp.com/southindianrecipes.in/wp-content/uploads/2021/08/Kothimbir-Vadi.jpg?resize=768%2C1024&ssl=1
Paneer Tikka,400,20,5, Paneer Spices, Veg, Marinate paneer and grill until charred,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJ2WY2YmIJtXrpmDToEHwJIOAcyBefjpFwXg&s
Dal Chawal,400,12,5, Lentils Rice Spices, Veg, Serve lentils with rice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHIEnKPsNPAE9EwAdDJUGpaEcrZF16p7bqVQ&s
Palak Paratha,300,10,5, Whole Wheat Flour Spinach Spices, Veg, Roll dough with spinach and cook on tawa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7h0G2lBsLsipOkcr12lfphNfLNo1aia5PKQ&s
Cabbage Paratha,300,10,5, Whole Wheat Flour Cabbage Spices, Veg, Stuff paratha with spiced cabbage and fry,https://cookingwithsj.com/wp-content/uploads/2013/11/cabbage-paratha2.jpg
Khoya Paneer,400,20,5, Paneer Khoya Spices, Veg, Cook paneer in rich khoya gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAh9EFeBrRJKaLSCH8rf4HAY9PPRuJ6Wt4Dg&s
Vegetable Dhokla,300,10,5, Gram Flour Spices, Veg, Steam gram flour batter with vegetables,https://i0.wp.com/veenapatwardhan.com/pat-a-cake/wp-content/uploads/2022/03/Healthy-Vegetable-Dhokla.jpg?fit=760%2C400&ssl=1
Prawns Masala,400,20,5, Prawns Spices, Non-Veg, Cook prawns in spicy masala,https://www.licious.in/blog/wp-content/uploads/2020/12/Prawns-Masala-min-600x600.jpg
Lemon Rice,350,10,5, Rice Lemon Spices, Veg, Mix rice with lemon and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/lemon-rice-recipe.jpg
Aloo Chole,400,12,5, Potatoes Chickpeas Spices, Veg, Cook potatoes with chickpeas in gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3qSzUOaX9_3cbc__mKiQN0LWQn2ooVjr2tQ&s
Bisi Bele Bath,400,12,6, Rice Lentils Mixed Vegetables Spices, Veg, Cook rice and lentils with mixed vegetables and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/07/bisi-bele-bath-recipe.jpg
Aloo Tikki,250,6,4, Potatoes Spices, Veg, Mash potatoes with spices and shape into patties, https://www.vegrecipesofindia.com/wp-content/uploads/2022/07/aloo-tikki-recipe-2.jpg
Pani Puri,200,4,3, Puri Tamarind Water Spices, Veg, Fill puris with spiced water and serve,https://i0.wp.com/binjalsvegkitchen.com/wp-content/uploads/2015/03/Pani-Puri-H2-WP-WT-S.jpg?fit=647%2C900&ssl=1
Khichdi,300,8,5, Rice Lentils Spices, Veg, Cook rice and lentils together with spices,https://holycowvegan.net/wp-content/uploads/2014/06/masala-khichdi-featured-image.jpg
Dhokla,250,8,4, Gram Flour Spices, Veg, Steam gram flour batter until fluffy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYTxgJRNarI0NJ1BB3s1680fmXdd70DnVhSw&s
Bhel Puri,200,4,3, Puffed Rice Vegetables Chutney, Veg, Mix puffed rice with vegetables and chutney,https://upload.wikimedia.org/wikipedia/commons/2/20/Indian_cuisine-Chaat-Bhelpuri-03.jpg
Cabbage Roll,300,8,5, Cabbage Rice Spices, Veg, Fill cabbage leaves with rice and spices, https://www.spendwithpennies.com/wp-content/uploads/2022/02/Easy-Cabbage-Rolls-SpendWithPennies-10.jpg
Baida Roti,400,20,5, Roti Egg Spices, Non-Veg, Stuff roti with spiced egg and cook on tawa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS31EiNlJf5BRFlGrx6wgElzGlduSLElxWkIQ&s
Gajar Ka Halwa,300,6,2, Carrots Milk Sugar, Veg, Cook grated carrots with milk and sugar until thick,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-Kl11Sse-4afhlB0nrkcRHdePZ2hNirnfgg&s
Aloo Kachaloo,250,4,3, Potatoes Spices, Veg, Boil and mash potatoes with spices, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTH_bJfpHc9eG31t9do_iZfEAEnHDFQg01VhA&s
Masala Dosa,400,10,4, Rice Lentils Potatoes Spices, Veg, Fill dosa with spiced potato filling and serve,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRKEoKRezBKpHWYUIbZaKX9Kw_qCv-hQfTVw&s
Paneer Bhurji,350,20,3, Paneer Vegetables Spices, Veg, Scramble paneer with vegetables and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk8oEUJRNg33QAuXbrwpOw2JO9rEw4BP0p1g&s
Dal Makhani,400,14,5, Black Lentils Cream Spices, Veg, Slow-cook lentils in creamy sauce,https://i.ytimg.com/vi/M7nvJN0vQ3g/maxresdefault.jpg
Chole Bhature,500,15,5, Chickpeas Flour Spices, Veg, Serve spicy chickpeas with fried bread,https://www.shutterstock.com/image-photo/chole-bhature-north-indian-food-600nw-2241211611.jpg
Samosa,300,6,4, Potatoes Peas Spices, Veg, Stuff pastry with spiced potatoes and deep-fry,https://static.toiimg.com/thumb/61050397.cms?width=1200&height=900
Korma,450,20,4, Mixed Vegetables Cream Spices, Veg, Cook vegetables in rich creamy gravy,https://www.shutterstock.com/image-photo/korma-chicken4-260nw-223265599.jpg
Raita,150,4,2, Yogurt Vegetables Spices, Veg, Mix yogurt with chopped vegetables and spices,https://sandhyahariharan.co.uk/wp-content/uploads/2020/06/Boondi-Raita-1-of-4.jpg
Pav Bhaji,400,10,5, Mixed Vegetables Bread Spices, Veg, Mash vegetables and serve with buttered bread,https://shwetainthekitchen.com/wp-content/uploads/2022/07/Pav-bhaji.jpg
Vegetable Pulao,350,10,4, Basmati Rice Mixed Vegetables Spices, Veg, Cook rice with mixed vegetables and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD01uJ7v0g5acDZnOGg-8iVzn6RzUsVKnHCw&s
Kachori,300,8,5, Gram Flour Spices, Veg, Stuff pastry with spiced lentils and deep-fry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuAYFO7-G4bcXTppjZnMrzNlExnQjSMl1NsA&s
Stuffed Paratha,400,12,5, Whole Wheat Flour Vegetables Spices, Veg, Stuff paratha with spiced filling and fry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY0v4QIMI5_es8RbHMy_w3fjHWLfmJCiXHUw&s
Murgh Methi,500,30,4, Chicken Fenugreek Spices, Non-Veg, Cook chicken with fenugreek and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIhnzwYN-sAjM5UoVkjpSsGoOCzGLxf-CKwg&s
Veg Seekh Kebabs,400,10,5, Mixed Vegetables Spices, Veg, Shape spiced vegetable mixture onto skewers and grill,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDjZarfmQaezG2BbLU-nr17WAbuqa86nS2uw&s
Murg Tikka,500,25,4, Chicken Spices, Non-Veg, Marinate chicken and grill until cooked,https://t4.ftcdn.net/jpg/05/85/17/03/360_F_585170352_7D9PjNXOvU3PAB4ynMRWpEavhBNuLG3J.jpg
Vegetable Biryani,500,15,5, Basmati Rice Mixed Vegetables Spices, Veg, Layer rice with mixed vegetables and spices,https://media.istockphoto.com/id/179085494/photo/indian-biryani.jpg?s=612x612&w=0&k=20&c=VJAUfiuavFYB7PXwisvUhLqWFJ20-9m087-czUJp9Fs=
Rajma,350,15,5, Kidney Beans Spices, Veg, Cook kidney beans in rich gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxQTkeqJli9DV70Nuh8RfWF-VzWn-fElqZ_w&s
Seviyan,250,6,3, Vermicelli Milk Sugar, Veg, Cook vermicelli in milk with sugar,https://static.toiimg.com/thumb/84061935.cms?imgsize=535052&width=800&height=800
Sooji Dhokla,250,8,4, Semolina Spices, Veg, Steam semolina batter with spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS23BVq5tyccJRxfCT3iheQA5gmxgJdYSim-A&s
Dumplings,300,8,4, Flour Vegetables Spices, Veg, Fill dough with spiced vegetables and steam,https://images.squarespace-cdn.com/content/v1/55be995de4b071c106b3b4c0/6af0cbeb-8a58-4993-ab68-8e9919d6d04c/Salmon+Dumplings-6.jpg
Palak Chole,400,12,5, Spinach Chickpeas Spices, Veg, Cook spinach with chickpeas and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXF8IorHC1uJlK8dI324qTumOviqsSWTTFNg&s
Vada Pav,400,10,5, Potatoes Bread Spices, Veg, Stuff spiced potato filling in bread and serve,https://media.istockphoto.com/id/1329213718/photo/vada-pav.jpg?s=612x612&w=0&k=20&c=Yy3pm53KrPAnZXL9weCJDzXjxa2My34oVFx7RBCPmZ8=
Tandoori Chicken,500,30,5, Chicken Yogurt Spices, Non-Veg, Marinate chicken in yogurt and spices,https://media.istockphoto.com/id/1171865516/photo/indian-tandoori-chicken-close-up-photo.jpg?s=612x612&w=0&k=20&c=h4c0mUeMWptnCS7W3TuRMGOKNzletUw-D2SkHYU6zYA=
Dal Fry,300,12,5, Lentils Spices, Veg, Cook lentils and temper with spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxuz_SF0yAjkQsbmXmLWHPkWjNFWv4fKL50w&s
Pongal,300,8,5, Rice Lentils Spices, Veg, Cook rice and lentils together with spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR42VtQcvzbTIjsZiRjkApTcVSMC0dKFOe_Fg&s
Fish Curry,400,20,5, Fish Spices, Non-Veg, Cook fish in spicy gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPzzFwMydcPJfv9QLM3jeaAHnOVultlGOlnw&s
Vegetable Korma,400,12,5, Mixed Vegetables Cream Spices, Veg, Cook mixed vegetables in rich creamy gravy,https://www.veganricha.com/wp-content/uploads/2017/12/vegan-vegetable-korma-veganricha-1936-1.jpg
Chicken Curry,500,30,5, Chicken Spices, Non-Veg, Cook chicken in spiced gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW7UYexyoKy3sprQedbjd-SnC12PXNDC30_w&s
Methi Thepla,350,10,5, Whole Wheat Flour Fenugreek Spices, Veg, Make flatbreads with fenugreek and spices,https://i0.wp.com/binjalsvegkitchen.com/wp-content/uploads/2015/01/Methi-Thepla-H1.jpg?fit=600%2C900&ssl=1
Egg Bhurji,300,20,4, Eggs Spices, Non-Veg, Scramble eggs with spices and vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj16MO4q_yTJyfSR5Fz1n5njYiWURC6xsR7w&s
Paneer Tikka Masala,450,20,5, Paneer Spices, Veg, Cook paneer in spiced creamy gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbWFq2n72Ov-p8YIVSx6tIfCXe1NL8W0G2DA&s
Veg Manchurian,350,10,4, Mixed Vegetables Spices, Veg, Fry vegetable balls and toss in sauce,https://i.ytimg.com/vi/xkMbJCtaaqA/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDrMLgdijp9TJ92IUYugdtisp2tIw
Aloo Baida,300,10,5, Potatoes Eggs Spices, Non-Veg, Stuff spiced potatoes with egg and fry,https://i0.wp.com/spicykitchen.net/wp-content/uploads/2015/07/egg-porotta.jpg?fit=640%2C427&ssl=1
Khichda,400,15,5, Wheat Lentils Meat Spices, Non-Veg, Slow-cook wheat and lentils with meat and spices,https://i.ytimg.com/vi/HBGpojMI2x4/maxresdefault.jpg
Palak Daal,300,10,5, Lentils Spinach Spices, Veg, Cook lentils with spinach and spices,https://www.spiceupthecurry.com/wp-content/uploads/2022/05/moong-dal-palak-2.jpg
Prawn Curry,500,25,5, Prawns Spices, Non-Veg, Cook prawns in spicy gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtO6a8Ns4eIP40g6Udb6AjFF87KrJ6v_ES4A&s
